episode,global_step,episode_reward,running_avg_reward,eval_reward,mean_energy,mean_energy_norm,mean_queue,mean_queue_ratio,mean_throughput_norm,q1_loss,actor_loss,alpha
1,1150,-257.00417007627044,-257.00417007627044,0.0,9.684326429605278,0.19368652859210575,4.2556521739130435,0.015886073601424456,0.03840579710144928,0.0,0.0,0.0
2,2298,-222.98761984180447,-239.99589495903746,0.0,8.707344468736276,0.17395483270029163,4.158536585365853,0.015523547406975686,0.03861788617886184,0.0,0.0,0.0
3,3453,-124.25542962677186,-201.41573984828224,0.0,5.690883399829291,0.1138176679965857,4.341991341991342,0.016208372117075126,0.03730158730158729,0.0,0.0,0.0
4,4603,-126.90198982363961,-182.7873023421216,0.0,5.804962882992657,0.11609925765985277,4.523478260869565,0.01688585101647119,0.03724637681159425,0.0,0.0,0.0
5,5757,-214.96385395610778,-189.2226126649188,0.0,8.40238711050123,0.16804774221002464,4.2538994800693235,0.015879530908961794,0.03798382437897169,1.9385529630141711,-16.819599976566543,1.0884559419507402
6,6948,-262.75894890484494,-201.47866870490648,0.0,9.513721526813725,0.19027443053627413,4.214945424013434,0.015734117943736043,0.03799328295549962,1.1783161878952801,-27.04124652559732,0.9205425718675949
7,8097,-262.3267701525086,-210.1712546259925,0.0,9.903011664901232,0.19806023329802447,4.265448215839861,0.015922641590699057,0.04046997389033949,1.17749309534985,-34.872313638497324,0.791539707602879
8,9251,-261.9085518008185,-216.63841677284574,0.0,9.780138028831153,0.19560276057662335,4.288561525129983,0.016008922075463825,0.03697284806470253,1.2284402903151872,-40.706492339160995,0.6868490616274912
9,10398,-261.62636284933865,-221.6370774480116,0.0,9.83320115152862,0.19666402303057215,4.340017436791631,0.016201003656965293,0.037707061900610336,1.2310936744731098,-44.90508819641043,0.6021165734839717
10,11551,-262.86074821494,-225.75944452470443,-80.82984901814687,9.870635527759754,0.1973235325731767,4.274067649609714,0.015954817378022547,0.03808904307603358,1.2386657786947903,-47.904440556354345,0.5322462972162589
11,12742,-269.9632064183799,-229.77796833322037,-80.82984901814687,9.659202991772203,0.19315048975010085,4.243492863140218,0.015840683682797202,0.037223621606493194,1.2494820564481064,-49.99658311728975,0.4727117882414365
12,13893,-260.68119896122266,-232.35323755222058,-80.82984901814687,9.833932452655398,0.19622211650346813,4.248479582971329,0.01585929878455588,0.03902403706921524,1.2779460198555685,-51.27121242037793,0.4248798842505643
13,15086,-258.4236752600443,-234.35865583743782,-80.82984901814687,9.316126249641107,0.1863225249928224,4.111483654652138,0.01534790186783531,0.03737077395920659,1.303686596288475,-52.008136943811785,0.3833555424423624
14,16238,-266.0919100717204,-236.6253168541723,-80.82984901814687,9.936650719187908,0.19873301438375823,4.301215277777778,0.016056157713547514,0.03804976851851861,1.345653041503811,-52.31916580363891,0.34951312678961133
15,17390,-270.2401289095276,-238.8663043245293,-80.82984901814687,10.042271624837818,0.20084543249675657,4.216145833333333,0.015738598993885047,0.03877314814814817,1.4136374216229408,-52.34496591325641,0.32067809604753517
16,18584,-268.0970553094577,-240.69322626108732,-80.82984901814687,9.627885812887236,0.19253303269063388,4.1373534338358455,0.015444472075965615,0.0372696817420436,1.5017656461210604,-52.154853841418074,0.2950739947269353
17,19776,-289.9907587662115,-243.59308111432995,-80.82984901814687,10.387299036902064,0.2077459807380411,4.178691275167785,0.015598783557046848,0.038870246085011245,1.6243725478015862,-51.828919387258445,0.2730906660599035
18,20927,-265.99802252574807,-244.83780008163092,-80.82984901814687,9.987477418561802,0.19974954837123618,4.3588184187662895,0.016271186503500384,0.03844483058210258,1.7492163634551703,-51.42288665695393,0.25467091159123717
19,22120,-282.1608835764875,-246.8021728971497,-80.82984901814687,9.984782037830177,0.19969564075660368,4.24056999161777,0.015829772792941642,0.037510477787091476,1.860162757447192,-50.91001096696674,0.2379628696437725
20,23272,-249.48862420321586,-246.93649546245302,-261.1273617897175,9.326902326367122,0.18653804652734252,4.1875,0.015631665955631306,0.03833912037037043,1.951576013632389,-50.34051082379627,0.22376222846286364
1,1150,-42.01702255548315,-42.01702255548315,0.0,8.946989970464019,0.11183737463080046,4.486086956521739,0.016746271702032883,0.07681159420289865,0.0,0.0,0.0
2,2302,18.436860383944865,-11.790081085769144,0.0,5.743506736310547,0.07179383420388177,4.348958333333333,0.01623437944397035,0.07653356481481491,0.0,0.0,0.0
3,3457,-47.65506177383511,-23.7450746484578,0.0,9.364151635722296,0.11705189544652882,4.219047619047619,0.01574943117178606,0.08037518037518045,1.3543505353715786,-20.23015675303968,1.0426721723296015
4,4648,-60.78549249487526,-33.00517911006216,0.0,9.5463810317769,0.11932976289721102,4.127623845507976,0.015408152153666643,0.0752868737755388,1.0442712281732467,-30.36898704002524,0.8844740455444254
5,5803,-60.64382673152887,-38.5329086343555,0.0,9.695135019324368,0.12118918774155434,4.232900432900433,0.01580114282759328,0.07460317460317462,1.0708081489067731,-38.027446677521986,0.7619925584166927
6,6955,-63.560540028870285,-42.704180533441296,0.0,9.997402653845787,0.12496753317307213,4.263888888888888,0.01591682072430785,0.07494212962962978,1.1006234348755692,-43.76343191007628,0.6631932854129098
7,8104,-64.5644999013923,-45.82708330029144,0.0,9.921960726114273,0.12402450907642863,4.262837249782419,0.015912895023718426,0.07412242529736013,1.075996372213393,-47.98066629859946,0.5827611957277571
8,9252,-63.670914047249475,-48.057562143661194,0.0,9.947477893412868,0.12434347366766076,4.338850174216028,0.016196646341463335,0.0757839721254357,1.087506054499002,-51.018147411737324,0.5165917512366985
9,10445,-65.66570159889255,-50.014022083131344,0.0,9.829956190934338,0.12287445238667956,4.142497904442582,0.015463676051140124,0.07585917854149213,1.0893124670268084,-53.20657632822412,0.45975579526770805
10,11598,-71.19665612032291,-52.132285486850506,15.93029377035191,10.358016531323804,0.1294752066415473,4.269731136166522,0.01593862945454643,0.07444348077479047,1.0687851028389121,-54.59225869685507,0.41400595725632344
11,12747,-70.55832931090897,-53.80738037994673,15.93029377035191,10.043188991809755,0.12553986239762183,4.268929503916449,0.015935637013339957,0.07194662024949244,1.0395653369441589,-55.42122182346827,0.3755981812115354
12,13899,-63.930769270151146,-54.650996120797096,15.93029377035191,9.874182877728236,0.12342728597160296,4.131076388888888,0.015421040274222503,0.07740162037037047,1.0194133750109569,-55.824926573764046,0.34290276102430145
13,15055,-74.38945949406273,-56.16933945720215,15.93029377035191,10.771115165292581,0.13463893956615725,4.211937716262976,0.015722890365742665,0.07799884659746265,1.0082905827462203,-55.90701055290341,0.31485529120142575
14,16247,-73.43077325620686,-57.402299014273915,15.93029377035191,10.360801088839251,0.12951001361049078,4.181208053691275,0.01560817852807098,0.07718120805369132,0.9825727631306197,-55.741185841474206,0.2900239669775417
15,17396,-72.51936146122367,-58.4101031774039,15.93029377035191,10.486867140394946,0.13108583925493658,4.207136640557006,0.015704968261464856,0.0757180156657964,0.9577779370754601,-55.397960036383196,0.26930087310672324
16,18590,-60.946876455109205,-58.568651507260476,15.93029377035191,9.700758211681958,0.12125947764602447,4.131490787269682,0.015422587196505766,0.08054159687325525,0.937181744121922,-54.89272131154017,0.2505126295737348
17,19740,-76.2156195610791,-59.60670845160274,15.93029377035191,10.839598415012635,0.13549498018765785,4.354782608695652,0.016256121086214503,0.07797101449275373,0.9178813863548878,-54.30207961670903,0.23463046878386587
18,20931,-78.7867833536282,-60.67226816838193,15.93029377035191,9.892761385755698,0.1236595173219463,4.150293870696893,0.015492777887626959,0.07178841309823683,0.8962419854568311,-53.61245856359348,0.22010714806726966
19,22085,-85.06377431487869,-61.9560316497765,15.93029377035191,11.190963517381318,0.13988704396726656,4.353552859618717,0.016251530512655127,0.0755343731946853,0.8770725042555895,-52.88702756765975,0.20761960741666804
20,23237,-75.58588840110976,-62.63752448734316,-71.29039490095596,10.548967261720145,0.13186209077150204,4.269965277777778,0.01593950348999802,0.07609953703703715,0.8570210601981079,-52.121006551116515,0.19647587825616492
1,1150,-13.064948703018548,-13.064948703018548,0.0,7.1759048723941685,0.08969881090492698,4.379130434782609,0.016347009942127844,0.07826086956521748,0.0,0.0,0.0
2,2298,25.990290491763307,6.46267089437238,0.0,4.75812610547475,0.05947657631843444,4.256968641114983,0.01589098788812111,0.07302555168408838,0.0,0.0,0.0
3,3490,-24.462454793958265,-3.8457043350711686,0.0,7.275469570889646,0.09094336963612076,4.209731543624161,0.015714654866344352,0.07410514541387034,1.163111613361689,-20.755173490639677,1.0383155612525974
4,4638,-28.636130394054796,-10.043310849817075,0.0,7.796469737638406,0.09745587172048023,4.304878048780488,0.016069830600183035,0.07592915214866443,0.9746754681188222,-30.55248689278794,0.886184115956116
5,5795,-28.94749342288165,-13.82414736442999,0.0,7.794718255952777,0.09743397819940974,4.296456352636128,0.01603839295459302,0.07605877268798628,0.9805940640048157,-38.350202518512,0.7631294046417844
6,6988,-31.562882258249974,-16.780603180066652,0.0,7.585936140182413,0.09482420175228028,4.086336965632858,0.015254030908399031,0.07278569432802472,1.0130634630725233,-44.3577718476528,0.6608187195898323
7,8137,-32.75863164072921,-19.06317867444702,0.0,7.876455090573389,0.09845568863216732,4.211488250652741,0.01572121253976595,0.07339715694807089,1.0055510726679115,-48.54490034349208,0.5806891418352033
8,9285,-28.656691722482634,-20.262367805451472,0.0,7.83270254854891,0.09790878185686136,4.276132404181185,0.015962524972945934,0.07650987224157955,0.9821218202172446,-51.54045836159631,0.5148062298732755
9,10435,-28.540819856730078,-21.182195811149096,0.0,7.853115694299113,0.09816394617873905,4.165217391304348,0.015548486422317761,0.07652173913043488,0.9531165203918652,-53.61365575523979,0.4600574729186258
10,11585,-34.77956968446038,-22.541933198480223,38.59981281830406,7.844065835880985,0.09805082294851224,4.2556521739130435,0.015886073601424473,0.07304347826086963,0.925255358353786,-54.971442333135684,0.4142565751671726
11,12735,-34.27456379941097,-23.608535980383014,38.59981281830406,7.8318841476221275,0.09789855184527672,4.233913043478261,0.0158049228372161,0.07318840579710155,0.8994085853760803,-55.77927028309358,0.3756455342957877
12,13887,-30.719684872203437,-24.201131721368053,38.59981281830406,7.969010547816528,0.09961263184770663,4.228298611111111,0.015783964525265377,0.0779803240740742,0.8685368699006072,-56.16795817347539,0.34280481095124854
13,15038,-31.88793865352079,-24.792424562302877,38.59981281830406,8.095604483916576,0.10119505604895712,4.321459600347524,0.016131728456928607,0.07717926440776149,0.8472336845497361,-56.23468666359993,0.31474285016464315
14,16229,-36.475572278121774,-25.6269351134328,38.59981281830406,7.766360383297719,0.09707950479122138,4.261964735516373,0.01590963798454269,0.07164847467114481,0.8145631988800184,-56.05552731972196,0.28980071479838476
15,17379,-38.24801429545627,-26.468340392234367,38.59981281830406,8.13775234124222,0.1017219042655279,4.199130434782609,0.015675081614482837,0.07478260869565218,0.7797564360761993,-55.69668280640654,0.2689554138482114
16,18538,-38.34843845107522,-27.210846520911918,38.59981281830406,8.089187732127625,0.10111484665159517,4.2743744607420195,0.015955962684083825,0.07578372159907971,0.7511064055911212,-55.195717604277455,0.25060443603048477
17,19729,-39.219603030236534,-27.917243962636896,38.59981281830406,7.930749975100285,0.09913437468875369,4.06801007556675,0.015185617816215368,0.07416736635880224,0.7232449282461587,-54.56864257272928,0.234057406819411
18,20877,-43.43159689212646,-28.77915245871965,38.59981281830406,8.565655988361494,0.10707069985451871,4.355400696864112,0.016258428369266564,0.07346109175377478,0.7008086974435308,-53.88515953278823,0.219973744976515
19,22027,-26.92075015431166,-28.68134181111923,38.59981281830406,7.804727301967244,0.09755909127459063,4.144347826086957,0.015470581688677832,0.07724637681159438,0.6786323821945341,-53.14329038730143,0.20742140531759415
20,23183,-22.192418241659787,-28.356895632646257,-15.023390682647179,7.205187007848379,0.09006483759810487,4.228373702422146,0.015784244836260092,0.07684544405997695,0.6543479303225697,-52.3525919876964,0.19613255078140462
1,1151,-34.592946983954455,-34.592946983954455,0.0,8.188285109782813,0.10235356387228521,4.318853171155516,0.016121998825772445,0.0,0.07616565305531425,0.007037766536295775,0.0,0.0,0.0
2,2301,13.64999525768898,-10.471475863132738,0.0,5.6720447835238685,0.07090055979404834,4.286086956521739,0.01599968467131613,0.0,0.07608695652173914,0.007014672058168856,0.0,0.0,0.0
3,3455,14.322124406480912,-2.2069424399281883,0.0,5.804397904342432,0.07255497380428044,4.327556325823223,0.01615448713777859,0.0,0.0778451761987291,0.0070065316660849995,0.0,0.0,0.0
4,4647,16.700647149311866,2.519954957381825,0.0,5.452187953530924,0.06815234941913648,4.197147651006711,0.01566768001122376,0.0,0.07606263982102908,0.006761247480358236,0.0,0.0,0.0
5,5799,13.214258554771273,4.658815676859715,0.0,5.639380267885743,0.0704922533485719,4.296875,0.016039955738054515,0.0,0.0753761574074075,0.007041378549251027,0.0,0.0,0.0
6,6992,12.797629845383888,6.015284704947077,0.0,5.545995064411284,0.06932493830514118,4.207041072925398,0.01570461151369328,0.0,0.07376362112321883,0.006805644559131896,0.0,0.0,0.0
7,8142,10.30980123501889,6.6287870663859065,0.0,5.833950623237514,0.0729243827904688,4.2956521739130435,0.01603539100756783,0.0,0.07420289855072472,0.007021164119305522,0.0,0.0,0.0
8,9293,20.8289699061404,8.403809921355219,0.0,5.721805564829388,0.0715225695603674,4.305821025195482,0.016073350669991576,0.0,0.0825369244135536,0.006992361590900308,0.0,0.0,0.0
9,10444,9.13442955252078,8.484989880373615,0.0,5.657184133438031,0.07071480166797547,4.304952215464813,0.016070107459606253,0.0,0.07211120764552566,0.006969659118202593,0.0,0.0,0.0
10,11601,7.9369519189112125,8.430186084227376,47.77720398701747,5.679355610406397,0.07099194513007992,4.328435609334486,0.016157769446107792,0.0,0.07130509939498715,0.006985137949445564,0.0,0.0,0.0
11,12793,-27.039929947884296,5.205630081308133,47.77720398701747,7.530735535252467,0.09413419419065566,4.169463087248322,0.015564335329958425,0.0,0.07620246085011195,0.006861460504615517,1.3078698926330814,-18.076548721106438,1.0840617716312408
12,13941,-46.621481015590504,0.8867041565665795,47.77720398701747,8.935578966941687,0.11169473708677088,4.312717770034843,0.016099095771247733,0.0,0.07984901277584217,0.007065912969283264,0.964689829667798,-28.378294516796004,0.9227968290156611
13,15093,-54.62645998478016,-3.383539238921631,47.77720398701747,8.647121117985094,0.10808901397481376,4.237847222222222,0.015819608871349974,0.0,0.06987847222222235,0.006892320374715567,0.9742233236961466,-36.78604753000954,0.7931297622192423
14,16247,-43.24823378623816,-6.231017420872812,47.77720398701747,8.81961670183563,0.11024520877294532,4.238301559792028,0.015821304884035825,0.0,0.0811669555170422,0.006951540420321646,1.0040038408160827,-43.225525463259515,0.6882033697250536
